time, step, color, speed, distance, stop, deviation, integral, derivative
51159,0,12,95,2550, False,-25.5,-25.5,-4
51302,0,81,95.5,1336, False,43.5,0,69
51450,0,79,96,1309, False,41.5,41.5,-2
51599,0,81,96.5,1278, False,43.5,85,2
51750,0,80,97,2550, False,42.5,127.5,-1
51892,0,79,97.5,2550, False,41.5,169,-1
52034,0,69,98,2550, False,31.5,200.5,-10
52179,0,15,98.5,2550, False,-22.5,0,-54
52328,0,14,99,2550, False,-23.5,-23.5,-1
52471,0,80,99.5,2550, False,42.5,0,66
52631,0,78,100,2550, False,40.5,40.5,-2
52798,0,69,100.5,2550, False,31.5,72,-9
52940,0,57,101,2550, False,19.5,91.5,-12
53080,0,46,101.5,2550, False,8.5,0,-11
53210,0,60,102,2550, False,22.5,22.5,14
53368,0,75,102.5,2550, False,37.5,60,15
53507,0,65,103,2550, False,27.5,87.5,-10
53650,0,43,103.5,2550, False,5.5,0,-22
53810,0,67,104,2550, False,29.5,29.5,24
53957,0,76,104.5,1267, False,38.5,68,9
54109,0,74,105,2550, False,36.5,104.5,-2
54259,0,68,105.5,2550, False,30.5,135,-6
54400,0,56,106,2550, False,18.5,153.5,-12
54547,0,44,106.5,2550, False,6.5,0,-12
54692,0,55,107,2550, False,17.5,17.5,11
54831,0,76,107.5,2550, False,38.5,56,21
54988,0,73,108,2550, False,35.5,91.5,-3
55140,0,67,108.5,2550, False,29.5,121,-6
55282,0,58,109,2550, False,20.5,141.5,-9
55427,0,35,109.5,2550, False,-2.5,0,-23
55588,0,41,110,2550, False,3.5,0,6
55730,0,61,110.5,2550, False,23.5,23.5,20
55871,0,39,111,2550, False,1.5,0,-22
56010,0,17,111.5,2550, False,-20.5,0,-22
56149,0,58,112,2550, False,20.5,0,41
56290,0,79,112.5,2550, False,41.5,41.5,21
56426,0,37,113,2550, False,-0.5,0,-42
56559,0,5,113.5,2471, False,-32.5,-32.5,-32
56700,0,41,114,2412, False,3.5,0,36
56859,0,71,114.5,2550, False,33.5,33.5,30
57018,0,21,115,2550, False,-16.5,0,-50
57158,0,5,115.5,2550, False,-32.5,-32.5,-16
57299,0,15,116,2367, False,-22.5,-55,10
57452,0,53,116.5,2378, False,15.5,0,38
57597,0,67,117,2271, False,29.5,29.5,14
57748,0,24,117.5,2550, False,-13.5,0,-43
57886,0,6,118,2299, False,-31.5,-31.5,-18
58021,0,49,118.5,2213, False,11.5,0,43
58168,0,70,119,2550, False,32.5,32.5,21
